Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2002,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2003,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2004,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2005,0,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2006,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2007,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2009,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2010,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5910,Export Quantity,661,"Cocoa, beans",2011,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2000,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2001,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2002,0,*,Unofficial figure
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2003,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2004,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2005,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2006,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2007,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2009,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2010,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5910,Export Quantity,661,"Cocoa, beans",2011,0,F,FAO estimate
TP,Crops and livestock products,10,Australia,5910,Export Quantity,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,10,Australia,5910,Export Quantity,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,10,Australia,5910,Export Quantity,661,"Cocoa, beans",2002,3,F,FAO estimate
