Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2000,7,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2001,42,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2002,24,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2003,34,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2004,30,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2005,35,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2006,47,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2007,34,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2008,43,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2009,75,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2010,171,,Official data
TP,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2011,135,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2000,0,M,Data not available
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2001,6,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2002,6,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2003,0,*,Unofficial figure
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2004,11,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2005,43,,Official data
TP,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2006,35,,Official data
