Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2000,19,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2001,147,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2002,105,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2003,102,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2004,108,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2005,168,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2006,256,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2007,221,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2008,374,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2009,489,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2010,603,,Official data
TP,Crops and livestock products,1,Armenia,5922,Export Value,666,Chocolate products nes,2011,982,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2000,0,M,Data not available
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2001,10,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2002,5,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2003,0,*,Unofficial figure
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2004,43,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2005,237,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2006,70,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2007,8,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2008,63,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2009,37,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2010,89,,Official data
TP,Crops and livestock products,3,Albania,5922,Export Value,666,Chocolate products nes,2011,69,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2000,71,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2001,0,*,Unofficial figure
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2002,0,F,FAO estimate
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2003,30,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2004,108,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2005,2,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2006,48,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2007,33,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2008,19,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2009,447,,Official data
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2010,243,R,Estimated data using trading partners database
TP,Crops and livestock products,4,Algeria,5922,Export Value,666,Chocolate products nes,2011,56,,Official data
TP,Crops and livestock products,7,Angola,5922,Export Value,666,Chocolate products nes,2000,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5922,Export Value,666,Chocolate products nes,2001,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5922,Export Value,666,Chocolate products nes,2002,0,F,FAO estimate
