Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2000,4268,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2001,4371,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2002,5418,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2003,7052,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2004,9155,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2005,12438,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2006,16332,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2007,28432,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2008,41896,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2009,34974,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2010,35864,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,666,Chocolate products nes,2011,38278,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2000,0,F,FAO estimate
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2001,0,F,FAO estimate
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2002,861,*,Unofficial figure
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2003,3396,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2004,4197,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2005,5839,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2006,8495,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2007,2410,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2008,3083,R,Estimated data using trading partners database
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2009,0,*,Unofficial figure
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2010,0,F,FAO estimate
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,666,Chocolate products nes,2011,6542,R,Estimated data using trading partners database
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2000,3312,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2001,4463,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2002,4870,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2003,4699,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2004,5363,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2005,6560,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2006,8016,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2007,8791,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2008,10849,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2009,9532,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2010,10337,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,666,Chocolate products nes,2011,11875,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2000,196,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2001,665,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2002,2075,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2003,3139,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2004,7087,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2005,7747,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2006,11518,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2007,18259,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2008,20121,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2009,32261,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2010,33000,F,FAO estimate
TP,Crops and livestock products,4,Algeria,5622,Import Value,666,Chocolate products nes,2011,59259,,Official data
TP,Crops and livestock products,7,Angola,5622,Import Value,666,Chocolate products nes,2000,1700,F,FAO estimate
TP,Crops and livestock products,7,Angola,5622,Import Value,666,Chocolate products nes,2001,3000,*,Unofficial figure
TP,Crops and livestock products,7,Angola,5622,Import Value,666,Chocolate products nes,2002,2894,*,Unofficial figure
