Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2000,251,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2001,506,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2002,476,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2003,445,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2004,561,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2005,560,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2006,1151,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2007,1269,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2008,1699,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2009,1197,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2010,498,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,661,"Cocoa, beans",2011,1567,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2002,0,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2003,1,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2004,2,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2005,0,*,Unofficial figure
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2006,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2007,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2009,0,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2010,0,,Official data
TP,Crops and livestock products,3,Albania,5610,Import Quantity,661,"Cocoa, beans",2011,5,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2000,1512,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2001,2662,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2002,3941,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2003,6830,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2004,4792,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2005,3643,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2006,5440,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2007,2180,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2008,7863,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2009,2916,,Official data
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2010,3041,R,Estimated data using trading partners database
TP,Crops and livestock products,4,Algeria,5610,Import Quantity,661,"Cocoa, beans",2011,4455,,Official data
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2000,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2001,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2002,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2003,500,R,Estimated data using trading partners database
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2004,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2005,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2006,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2007,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2008,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2009,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2010,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5610,Import Quantity,661,"Cocoa, beans",2011,0,*,Unofficial figure
