Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2000,277,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2001,655,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2002,1019,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2003,970,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2004,906,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2005,589,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2006,3219,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2007,5377,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2008,5550,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2009,3578,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2010,1913,,Official data
TP,Crops and livestock products,1,Armenia,5622,Import Value,661,"Cocoa, beans",2011,5343,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2002,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2003,2,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2004,3,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2005,0,*,Unofficial figure
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2006,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2007,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2009,2,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2010,0,,Official data
TP,Crops and livestock products,3,Albania,5622,Import Value,661,"Cocoa, beans",2011,20,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2000,2152,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2001,3625,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2002,7054,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2003,14621,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2004,8499,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2005,6644,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2006,10272,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2007,4379,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2008,19229,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2009,8595,,Official data
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2010,10033,R,Estimated data using trading partners database
TP,Crops and livestock products,4,Algeria,5622,Import Value,661,"Cocoa, beans",2011,14477,,Official data
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2000,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2001,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2002,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2003,800,R,Estimated data using trading partners database
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2004,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2005,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2006,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2007,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2008,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2009,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2010,0,*,Unofficial figure
TP,Crops and livestock products,5,American Samoa,5622,Import Value,661,"Cocoa, beans",2011,0,*,Unofficial figure
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2000,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2001,0,F,FAO estimate
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2002,11,*,Unofficial figure
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2003,50,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2004,50,F,FAO estimate
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2005,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2006,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2007,19,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2008,2,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2009,2,F,FAO estimate
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2010,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5622,Import Value,661,"Cocoa, beans",2011,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2000,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2001,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2002,1,*,Unofficial figure
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2003,1,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2004,0,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2005,2,,Official data
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2006,6,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2007,0,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2009,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2010,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5622,Import Value,661,"Cocoa, beans",2011,0,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2000,190,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2001,265,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2002,379,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2003,568,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2004,458,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2005,495,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2006,435,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2007,582,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2008,1040,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2009,1204,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2010,1380,,Official data
TP,Crops and livestock products,9,Argentina,5622,Import Value,661,"Cocoa, beans",2011,1619,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2000,107,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2001,98,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2002,273,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2003,300,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2004,233,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2005,648,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2006,408,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2007,992,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2008,818,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2009,796,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2010,1212,,Official data
TP,Crops and livestock products,10,Australia,5622,Import Value,661,"Cocoa, beans",2011,1184,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2000,19762,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2001,27063,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2002,41913,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2003,56481,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2004,42401,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2005,16999,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2006,15433,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2007,22626,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2008,28156,,Official data
TP,Crops and livestock products,11,Austria,5622,Import Value,661,"Cocoa, beans",2009,54354,,Official data
