Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QC,Crops,5,American Samoa,5510,Production,661,"Cocoa, beans",2011,1,F,FAO estimate
QC,Crops,7,Angola,5510,Production,661,"Cocoa, beans",2011,336,Im,FAO data based on imputation methodology
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,661,"Cocoa, beans",2011,5612,,Official data
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2011,248524,,Official data
QC,Crops,23,Belize,5510,Production,661,"Cocoa, beans",2011,26,,Official data
QC,Crops,25,Solomon Islands,5510,Production,661,"Cocoa, beans",2011,6495,,Official data
QC,Crops,32,Cameroon,5510,Production,661,"Cocoa, beans",2011,239000,*,Unofficial figure
QC,Crops,37,Central African Republic,5510,Production,661,"Cocoa, beans",2011,117,Im,FAO data based on imputation methodology
QC,Crops,38,Sri Lanka,5510,Production,661,"Cocoa, beans",2011,1630,,Official data
QC,Crops,44,Colombia,5510,Production,661,"Cocoa, beans",2011,44241,,Official data
QC,Crops,45,Comoros,5510,Production,661,"Cocoa, beans",2011,23.2,Fc,Calculated data
QC,Crops,46,Congo,5510,Production,661,"Cocoa, beans",2011,1500,*,Unofficial figure
QC,Crops,48,Costa Rica,5510,Production,661,"Cocoa, beans",2011,690,,Official data
QC,Crops,49,Cuba,5510,Production,661,"Cocoa, beans",2011,1510,,Official data
QC,Crops,53,Benin,5510,Production,661,"Cocoa, beans",2011,100,F,FAO estimate
QC,Crops,55,Dominica,5510,Production,661,"Cocoa, beans",2011,500,*,Unofficial figure
QC,Crops,56,Dominican Republic,5510,Production,661,"Cocoa, beans",2011,54279,,Official data
QC,Crops,58,Ecuador,5510,Production,661,"Cocoa, beans",2011,224163,,Official data
QC,Crops,60,El Salvador,5510,Production,661,"Cocoa, beans",2011,179,,Official data
QC,Crops,61,Equatorial Guinea,5510,Production,661,"Cocoa, beans",2011,900,*,Unofficial figure
QC,Crops,66,Fiji,5510,Production,661,"Cocoa, beans",2011,1,,Official data
QC,Crops,74,Gabon,5510,Production,661,"Cocoa, beans",2011,600,*,Unofficial figure
QC,Crops,81,Ghana,5510,Production,661,"Cocoa, beans",2011,700020,,Official data
QC,Crops,86,Grenada,5510,Production,661,"Cocoa, beans",2011,700,*,Unofficial figure
QC,Crops,87,Guadeloupe,5510,Production,661,"Cocoa, beans",2011,0,F,FAO estimate
QC,Crops,89,Guatemala,5510,Production,661,"Cocoa, beans",2011,10927,,Official data
QC,Crops,90,Guinea,5510,Production,661,"Cocoa, beans",2011,12000,*,Unofficial figure
QC,Crops,91,Guyana,5510,Production,661,"Cocoa, beans",2011,427,Im,FAO data based on imputation methodology
QC,Crops,93,Haiti,5510,Production,661,"Cocoa, beans",2011,9560,Im,FAO data based on imputation methodology
QC,Crops,95,Honduras,5510,Production,661,"Cocoa, beans",2011,1957,Im,FAO data based on imputation methodology
