Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1991,823.6,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1992,756.3,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1993,770.9,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1994,968.1,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1995,1023.3,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1996,1036.3,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1997,1053.4,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1998,1027.6,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",1999,1024.7,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2000,994.3,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2001,945.6,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2002,873.4,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2003,827.5,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2004,818.3,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2005,820.5,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2006,862,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2007,929.4,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2008,1421.9,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2009,1597.4,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2010,1304.1,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2011,1474.4,,Official data
PP,Producer Prices - Annual,19,Bolivia (Plurinational State of),5532,Producer Price (USD/tonne),661,"Cocoa, beans",2012,1545.7,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1991,837.4,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1992,744,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1993,852.8,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1994,991.7,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1995,1094.1,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1996,1065.6,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1997,1334,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1998,1377,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1999,983.1,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2000,757.3,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2001,976.8,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2007,1924.6,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2008,385.2,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2009,427.6,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2010,479.9,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2011,507.7,,Official data
PP,Producer Prices - Annual,21,Brazil,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2012,365,,Official data
PP,Producer Prices - Annual,23,Belize,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2002,2204.5,,Official data
PP,Producer Prices - Annual,23,Belize,5532,Producer Price (USD/tonne),661,"Cocoa, beans",2003,2204.5,,Official data
PP,Producer Prices - Annual,32,Cameroon,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1991,709,,Official data
PP,Producer Prices - Annual,32,Cameroon,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1992,755.6,,Official data
PP,Producer Prices - Annual,32,Cameroon,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1993,706.3,,Official data
PP,Producer Prices - Annual,32,Cameroon,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1994,405.3,,Official data
PP,Producer Prices - Annual,32,Cameroon,5532,Producer Price (USD/tonne),661,"Cocoa, beans",1995,961.6,,Official data
