NoRecords,RecordOrder,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
810,1,TM,Detailed trade matrix,3,Albania,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,2,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,4,,Official data
810,3,TM,Detailed trade matrix,4,Algeria,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,3446,,Official data
810,4,TM,Detailed trade matrix,4,Algeria,129,Madagascar,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,329,,Official data
810,5,TM,Detailed trade matrix,4,Algeria,226,Uganda,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,143,,Official data
810,6,TM,Detailed trade matrix,4,Algeria,215,United Republic of Tanzania,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,537,,Official data
810,7,TM,Detailed trade matrix,8,Antigua and Barbuda,86,Grenada,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,*,Unofficial figure
810,8,TM,Detailed trade matrix,8,Antigua and Barbuda,252,Unspecified,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,9,TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,193,,Official data
810,10,TM,Detailed trade matrix,9,Argentina,21,Brazil,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,120,,Official data
810,11,TM,Detailed trade matrix,9,Argentina,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,55,,Official data
810,12,TM,Detailed trade matrix,9,Argentina,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,70,,Official data
810,13,TM,Detailed trade matrix,9,Argentina,170,Peru,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,12,,Official data
810,14,TM,Detailed trade matrix,1,Armenia,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1023,,Official data
810,15,TM,Detailed trade matrix,1,Armenia,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,150,,Official data
810,16,TM,Detailed trade matrix,1,Armenia,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,17,TM,Detailed trade matrix,1,Armenia,81,Ghana,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,197,,Official data
810,18,TM,Detailed trade matrix,1,Armenia,159,Nigeria,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,198,,Official data
810,19,TM,Detailed trade matrix,22,Aruba,150,Netherlands,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,20,TM,Detailed trade matrix,10,Australia,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,21,TM,Detailed trade matrix,10,Australia,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,26,,Official data
810,22,TM,Detailed trade matrix,10,Australia,66,Fiji,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,6,,Official data
810,23,TM,Detailed trade matrix,10,Australia,79,Germany,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,3,,Official data
810,24,TM,Detailed trade matrix,10,Australia,81,Ghana,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,76,,Official data
810,25,TM,Detailed trade matrix,10,Australia,100,India,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,2,,Official data
810,26,TM,Detailed trade matrix,10,Australia,101,Indonesia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,27,TM,Detailed trade matrix,10,Australia,150,Netherlands,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,8,,Official data
810,28,TM,Detailed trade matrix,10,Australia,168,Papua New Guinea,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,34,,Official data
810,29,TM,Detailed trade matrix,10,Australia,170,Peru,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,6,,Official data
810,30,TM,Detailed trade matrix,10,Australia,200,Singapore,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,12,,Official data
810,31,TM,Detailed trade matrix,10,Australia,211,Switzerland,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,32,TM,Detailed trade matrix,10,Australia,215,United Republic of Tanzania,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,33,TM,Detailed trade matrix,10,Australia,231,United States of America,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,34,TM,Detailed trade matrix,10,Australia,155,Vanuatu,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,35,TM,Detailed trade matrix,11,Austria,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,380,,Official data
810,36,TM,Detailed trade matrix,11,Austria,21,Brazil,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,23,,Official data
810,37,TM,Detailed trade matrix,11,Austria,167,Czech Republic,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,38,TM,Detailed trade matrix,11,Austria,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,39,TM,Detailed trade matrix,11,Austria,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,40,TM,Detailed trade matrix,11,Austria,79,Germany,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,5669,,Official data
810,41,TM,Detailed trade matrix,11,Austria,89,Guatemala,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,42,TM,Detailed trade matrix,11,Austria,101,Indonesia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,43,TM,Detailed trade matrix,11,Austria,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,44,TM,Detailed trade matrix,11,Austria,129,Madagascar,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,25,,Official data
810,45,TM,Detailed trade matrix,11,Austria,150,Netherlands,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,7026,,Official data
810,46,TM,Detailed trade matrix,11,Austria,157,Nicaragua,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,15,,Official data
810,47,TM,Detailed trade matrix,11,Austria,170,Peru,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,2,,Official data
810,48,TM,Detailed trade matrix,11,Austria,198,Slovenia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,22,,Official data
810,49,TM,Detailed trade matrix,11,Austria,211,Switzerland,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,50,TM,Detailed trade matrix,11,Austria,231,United States of America,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,51,TM,Detailed trade matrix,52,Azerbaijan,57,Belarus,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,52,TM,Detailed trade matrix,52,Azerbaijan,185,Russian Federation,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,53,TM,Detailed trade matrix,13,Bahrain,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,54,TM,Detailed trade matrix,13,Bahrain,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,55,TM,Detailed trade matrix,13,Bahrain,100,India,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,10,,Official data
810,56,TM,Detailed trade matrix,13,Bahrain,150,Netherlands,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,35,*,Unofficial figure
810,57,TM,Detailed trade matrix,13,Bahrain,194,Saudi Arabia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,58,TM,Detailed trade matrix,13,Bahrain,200,Singapore,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,59,TM,Detailed trade matrix,13,Bahrain,212,Syrian Arab Republic,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,60,TM,Detailed trade matrix,13,Bahrain,229,United Kingdom,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,61,TM,Detailed trade matrix,14,Barbados,33,Canada,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,62,TM,Detailed trade matrix,14,Barbados,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,63,TM,Detailed trade matrix,14,Barbados,86,Grenada,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,64,TM,Detailed trade matrix,14,Barbados,236,Venezuela (Bolivarian Republic of),5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,65,TM,Detailed trade matrix,57,Belarus,81,Ghana,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,6645,,Official data
810,66,TM,Detailed trade matrix,57,Belarus,159,Nigeria,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,287,,Official data
810,67,TM,Detailed trade matrix,255,Belgium,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,68,TM,Detailed trade matrix,255,Belgium,21,Brazil,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,72,,Official data
810,69,TM,Detailed trade matrix,255,Belgium,32,Cameroon,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1306,,Official data
810,70,TM,Detailed trade matrix,255,Belgium,351,China,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,27,,Official data
810,71,TM,Detailed trade matrix,255,Belgium,41,"China, mainland",5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,27,,Official data
810,72,TM,Detailed trade matrix,255,Belgium,44,Colombia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,131,,Official data
810,73,TM,Detailed trade matrix,255,Belgium,46,Congo,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,328,,Official data
810,74,TM,Detailed trade matrix,255,Belgium,48,Costa Rica,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,75,TM,Detailed trade matrix,255,Belgium,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,65230,,Official data
810,76,TM,Detailed trade matrix,255,Belgium,49,Cuba,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,13,,Official data
810,77,TM,Detailed trade matrix,255,Belgium,250,Democratic Republic of the Congo,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,557,,Official data
810,78,TM,Detailed trade matrix,255,Belgium,55,Dominica,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,193,,Official data
810,79,TM,Detailed trade matrix,255,Belgium,56,Dominican Republic,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,5494,,Official data
810,80,TM,Detailed trade matrix,255,Belgium,58,Ecuador,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,10885,,Official data
810,81,TM,Detailed trade matrix,255,Belgium,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,107,,Official data
810,82,TM,Detailed trade matrix,255,Belgium,79,Germany,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,123,,Official data
810,83,TM,Detailed trade matrix,255,Belgium,81,Ghana,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,60555,,Official data
810,84,TM,Detailed trade matrix,255,Belgium,86,Grenada,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,26,,Official data
810,85,TM,Detailed trade matrix,255,Belgium,90,Guinea,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,2368,,Official data
810,86,TM,Detailed trade matrix,255,Belgium,175,Guinea-Bissau,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,301,,Official data
810,87,TM,Detailed trade matrix,255,Belgium,101,Indonesia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,529,,Official data
810,88,TM,Detailed trade matrix,255,Belgium,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,89,TM,Detailed trade matrix,255,Belgium,109,Jamaica,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,25,,Official data
810,90,TM,Detailed trade matrix,255,Belgium,123,Liberia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1935,,Official data
810,91,TM,Detailed trade matrix,255,Belgium,129,Madagascar,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,341,,Official data
810,92,TM,Detailed trade matrix,255,Belgium,131,Malaysia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,93,TM,Detailed trade matrix,255,Belgium,138,Mexico,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,97,,Official data
810,94,TM,Detailed trade matrix,255,Belgium,150,Netherlands,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,4026,,Official data
810,95,TM,Detailed trade matrix,255,Belgium,157,Nicaragua,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,215,,Official data
810,96,TM,Detailed trade matrix,255,Belgium,159,Nigeria,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,17499,,Official data
810,97,TM,Detailed trade matrix,255,Belgium,166,Panama,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,91,,Official data
810,98,TM,Detailed trade matrix,255,Belgium,168,Papua New Guinea,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,4181,,Official data
810,99,TM,Detailed trade matrix,255,Belgium,170,Peru,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1560,,Official data
810,100,TM,Detailed trade matrix,255,Belgium,171,Philippines,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,100,,Official data
810,101,TM,Detailed trade matrix,255,Belgium,179,Qatar,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,109,,Official data
810,102,TM,Detailed trade matrix,255,Belgium,185,Russian Federation,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,20,,Official data
810,103,TM,Detailed trade matrix,255,Belgium,193,Sao Tome and Principe,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,881,,Official data
810,104,TM,Detailed trade matrix,255,Belgium,197,Sierra Leone,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,2593,,Official data
810,105,TM,Detailed trade matrix,255,Belgium,203,Spain,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,106,TM,Detailed trade matrix,255,Belgium,210,Sweden,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,107,TM,Detailed trade matrix,255,Belgium,217,Togo,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,13385,,Official data
810,108,TM,Detailed trade matrix,255,Belgium,220,Trinidad and Tobago,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,155,,Official data
810,109,TM,Detailed trade matrix,255,Belgium,223,Turkey,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,10,,Official data
810,110,TM,Detailed trade matrix,255,Belgium,226,Uganda,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1110,,Official data
810,111,TM,Detailed trade matrix,255,Belgium,229,United Kingdom,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,221,,Official data
810,112,TM,Detailed trade matrix,255,Belgium,215,United Republic of Tanzania,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,4532,,Official data
810,113,TM,Detailed trade matrix,255,Belgium,231,United States of America,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,114,TM,Detailed trade matrix,255,Belgium,236,Venezuela (Bolivarian Republic of),5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,130,,Official data
810,115,TM,Detailed trade matrix,255,Belgium,237,Viet Nam,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,13,,Official data
810,116,TM,Detailed trade matrix,20,Botswana,202,South Africa,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,14,,Official data
810,117,TM,Detailed trade matrix,20,Botswana,215,United Republic of Tanzania,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,118,TM,Detailed trade matrix,21,Brazil,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,119,TM,Detailed trade matrix,21,Brazil,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,21598,,Official data
810,120,TM,Detailed trade matrix,21,Brazil,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,121,TM,Detailed trade matrix,21,Brazil,101,Indonesia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,10917,,Official data
810,122,TM,Detailed trade matrix,27,Bulgaria,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,123,TM,Detailed trade matrix,27,Bulgaria,183,Romania,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,64,,Official data
810,124,TM,Detailed trade matrix,27,Bulgaria,229,United Kingdom,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1,,Official data
810,125,TM,Detailed trade matrix,32,Cameroon,68,France,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,126,TM,Detailed trade matrix,33,Canada,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,3,,Official data
810,127,TM,Detailed trade matrix,33,Canada,21,Brazil,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,128,TM,Detailed trade matrix,33,Canada,29,Burundi,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,129,TM,Detailed trade matrix,33,Canada,32,Cameroon,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,50,,Official data
810,130,TM,Detailed trade matrix,33,Canada,33,Canada,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,8,,Official data
810,131,TM,Detailed trade matrix,33,Canada,44,Colombia,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,312,,Official data
810,132,TM,Detailed trade matrix,33,Canada,48,Costa Rica,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
810,133,TM,Detailed trade matrix,33,Canada,107,Côte d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,33497,,Official data
810,134,TM,Detailed trade matrix,33,Canada,250,Democratic Republic of the Congo,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,50,,Official data
810,135,TM,Detailed trade matrix,33,Canada,56,Dominican Republic,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,1622,,Official data
