NoRecords,RecordOrder,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
810,1,TM,Detailed trade matrix,3,Albania,255,Belgium,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
810,2,TM,Detailed trade matrix,3,Albania,106,Italy,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,20,,Official data
810,3,TM,Detailed trade matrix,4,Algeria,107,Côte d'Ivoire,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,10724,,Official data
810,4,TM,Detailed trade matrix,4,Algeria,129,Madagascar,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,1159,,Official data
810,5,TM,Detailed trade matrix,4,Algeria,226,Uganda,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,512,,Official data
810,6,TM,Detailed trade matrix,4,Algeria,215,United Republic of Tanzania,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,2081,,Official data
810,7,TM,Detailed trade matrix,8,Antigua and Barbuda,86,Grenada,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
810,8,TM,Detailed trade matrix,8,Antigua and Barbuda,252,Unspecified,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
810,9,TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,705,,Official data
810,10,TM,Detailed trade matrix,9,Argentina,21,Brazil,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,447,,Official data
810,11,TM,Detailed trade matrix,9,Argentina,107,Côte d'Ivoire,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,188,,Official data
810,12,TM,Detailed trade matrix,9,Argentina,58,Ecuador,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,229,,Official data
810,13,TM,Detailed trade matrix,9,Argentina,170,Peru,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,50,,Official data
810,14,TM,Detailed trade matrix,1,Armenia,107,Côte d'Ivoire,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,3450,,Official data
810,15,TM,Detailed trade matrix,1,Armenia,58,Ecuador,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,492,,Official data
810,16,TM,Detailed trade matrix,1,Armenia,68,France,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
810,17,TM,Detailed trade matrix,1,Armenia,81,Ghana,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,704,,Official data
810,18,TM,Detailed trade matrix,1,Armenia,159,Nigeria,5622,Import Value,661,"Cocoa, beans",2011,2011,1000 US$,697,,Official data
